"unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_mt_percent","non_ribo_percent","outliers","cell_line","cell_line_demuxlet","demuxlet_cls"
"CELL_000001",167234,8341,526950,40991,21392,0,22342,11237,266880,0.823984562319245,0.797096043274279,"FALSE","HCC827","HCC827","SNG"
"CELL_000002",171821,10047,513676,41809,23139,0,15065,11759,249152,0.823525398117473,0.787884472615734,"FALSE","H1975","HCC827","DBL"
"CELL_000003",174510,8608,513021,42270,20170,0,20943,11203,251204,0.828955749079276,0.801714908929997,"FALSE","HCC827","HCC827","SNG"
"CELL_000004",158346,7796,504676,39684,18628,0,14021,11237,250040,0.839617661140633,0.816149383452672,"FALSE","HCC827","HCC827","SNG"
"CELL_000005",159070,6968,486645,38252,20029,0,14100,10920,244441,0.838746364119,0.798577129099573,"FALSE","HCC827","HCC827","SNG"
"CELL_000006",144914,8610,465126,33435,21732,0,11855,11157,235288,0.817904015469641,0.788378464333988,"FALSE","H1975","H1975","SNG"
"CELL_000007",151566,7854,462366,32460,17358,0,13978,11061,233424,0.84225272461948,0.796229145407964,"FALSE","HCC827","HCC827","SNG"
"CELL_000008",149137,6321,459096,29215,18723,0,14776,10744,228662,0.83280999900146,0.790026292517939,"FALSE","HCC827","HCC827","SNG"
"CELL_000009",142936,7756,453356,37640,17539,0,13969,10869,223177,0.84158313800967,0.818399708823055,"FALSE","HCC827","HCC827","SNG"
"CELL_000010",146525,9286,441443,46646,16196,0,13008,11129,219001,0.848279231562948,0.821306714521545,"FALSE","HCC827","HCC827","SNG"
"CELL_000011",139020,9251,451521,35329,20164,0,8716,11166,222295,0.830936368301989,0.812375410496169,"FALSE","H1975","H1975","SNG"
"CELL_000012",150742,7339,446584,28380,18705,0,13443,10835,223310,0.833066141201332,0.790793032520127,"FALSE","HCC827","HCC827","SNG"
"CELL_000013",144287,7817,449584,31656,17393,0,17635,10530,222211,0.843644103989287,0.814028071786362,"FALSE","HCC827","HCC827","SNG"
"CELL_000014",144831,7171,441439,34913,18675,0,7355,10544,229189,0.840533358894165,0.800431050337012,"FALSE","HCC827","HCC827","SNG"
"CELL_000015",134105,6427,448967,36661,19452,0,11708,11124,217850,0.828239614375569,0.806242790624614,"FALSE","H1975","H1975","SNG"
"CELL_000016",143058,6707,439687,34232,17929,0,13967,10869,215097,0.827975285530343,0.802888891853959,"FALSE","HCC827","HCC827","SNG"
"CELL_000017",148855,7562,421760,42354,17024,0,14162,10752,205634,0.828330917998564,0.793657625020297,"FALSE","HCC827","HCC827","SNG"
"CELL_000018",144436,8520,425643,38451,16517,0,18218,10825,207086,0.814835382362167,0.802801695778483,"FALSE","HCC827","HCC827","SNG"
